Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Season End,Original Air Date,Episode Title,Anchor,Industry,Business Description,Company Website,Started in,Number of Presenters,Male Presenters,Female Presenters,Transgender Presenters,Couple Presenters,Pitchers Average Age,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,EBITDA,Cash Burn,SKUs,Has Patents,Bootstrapped,Part of Match off,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Debt Interest,Deal Valuation,Number of Sharks in Deal,Deal Has Conditions,Royalty Percentage,Royalty Recouped Amount,Advisory Shares Equity,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Ritesh Investment Amount,Ritesh Investment Equity,Ritesh Debt Amount,Amit Investment Amount,Amit Investment Equity,Amit Debt Amount,Guest Investment Amount,Guest Investment Equity,Guest Debt Amount,Invested Guest Name,All Guest Names,Namita Present,Vineeta Present,Anupam Present,Aman Present,Peyush Present,Ritesh Present,Amit Present,Guest Present,Is Funded,Founder Gender Mix
1,HumpyA2,28,90,2021-12-20,2022-02-04,2022-01-26,Meeting The New India Minds,Rannvijay Singh,Food and Beverage,Organic Milk A2 Products,https://humpyfarms.com/,2017.0,3,2.0,1.0,,0,,Pune,Maharashtra,208.0,,44.0,,,,,,,,75.0,4.0,1875.0,1,1.0,100.0,15.0,0.0,,667.0,3.0,,,,,,,,33.33,5.0,,,,,,,,33.33,5.0,,,,,,,,33.33,5.0,,Ghazal Alagh,Ghazal Alagh,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Yes,Mixed
1,GoldSafeSolutions,28,92,2021-12-20,2022-02-04,2022-01-26,Meeting The New India Minds,Rannvijay Singh,Manufacturing,Anti-Suicidal Fan Rod,https://www.goldlife.co.in/,2017.0,2,2.0,,,0,,Mumbai,Maharashtra,60.0,,25.0,,,,,,,,50.0,5.0,1000.0,1,1.0,50.0,30.0,0.0,,167.0,3.0,,,,,,,,16.66,10.0,,,,,,,,16.66,10.0,,,,,,,,16.66,10.0,,Ghazal Alagh,Ghazal Alagh,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Yes,Male Only
1,WakaoFoods,29,93,2021-12-20,2022-02-04,2022-01-27,Businesses Of Tomorrow,Rannvijay Singh,Food and Beverage,Jackfruit Products,https://wakaofoods.com/,2021.0,1,1.0,,,0,,Goa,Goa,72.0,6.0,,,,,,,,,75.0,5.0,1500.0,1,1.0,75.0,21.0,0.0,,357.0,3.0,,,,,25.0,7.0,,25.0,7.0,,,,,,,,,,,,,,,,,25.0,7.0,,Ghazal Alagh,Ghazal Alagh,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Yes,Male Only
1,TweekLabs,33,110,2021-12-20,2022-02-04,2022-02-02,Life-Changing Ideas,Rannvijay Singh,Fitness/Sports/Outdoors,Sportswear,https://www.tweek-labs.com/,2019.0,4,4.0,,,0,,Delhi,Delhi,,,,,,,,,,,40.0,2.0,2000.0,1,1.0,60.0,10.0,0.0,,600.0,3.0,,,,,,,,,,,20.0,3.33,,,,,20.0,3.33,,,,,,,,20.0,3.33,,Ashneer Grover,Ashneer Grover,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,Yes,Male Only
1,Proxgy,33,111,2021-12-20,2022-02-04,2022-02-02,Life-Changing Ideas,Rannvijay Singh,Technology/Software,Virtual Reality,https://www.proxgy.com/,2020.0,2,2.0,,,0,,Delhi,Delhi,,,,,,,,yes,,,35.0,1.0,3500.0,1,1.0,100.0,10.0,0.0,,1000.0,2.0,,,,,,,,,,,,,,,,,50.0,5.0,,,,,,,,50.0,5.0,,Ashneer Grover,Ashneer Grover,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,Yes,Male Only
1,NomadFoodProject,34,112,2021-12-20,2022-02-04,2022-02-03,Scaling Ambitions,Rannvijay Singh,Food and Beverage,Bacon Jams Relishes,https://nomadfoodproject.com/,2019.0,2,2.0,,,0,,"Delhi,Pune","Delhi,Maharashtra",,3.0,70.0,,,,,,,,40.0,10.0,400.0,1,1.0,40.0,20.0,0.0,,200.0,4.0,,,,,10.0,5.0,,10.0,5.0,,,,,,,,,,,,,,,,,20.0,10.0,,"Ghazal Alagh,Ashneer Grover","Ghazal Alagh,Ashneer Grover",1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,Yes,Male Only
1,JainShikanji,35,116,2021-12-20,2022-02-04,2022-02-04,The Final Destination,Rannvijay Singh,Food and Beverage,Lemonade,https://jainshikanjimasala.com/,2017.0,1,1.0,,,0,,Modinagar,Uttar Pradesh,,2.0,,,,,,,,,40.0,8.0,500.0,1,1.0,40.0,30.0,0.0,,133.0,4.0,,,,,,,,10.0,7.5,,10.0,7.5,,10.0,7.5,,,,,,,,,,,10.0,7.5,,Ashneer Grover,"Ghazal Alagh,Ashneer Grover",1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,Yes,Male Only
1,WitBlox,0,123,2021-12-20,2022-02-04,,Unseen,Rannvijay Singh,Manufacturing,Kids playing equipment,https://witblox.com/,2020.0,2,1.0,1.0,,0,,Mumbai,Maharashtra,,,,,,,,,,,60.0,3.0,2000.0,1,1.0,60.0,10.0,0.0,,600.0,2.0,,,,,,,,,,,,,,,,,30.0,5.0,,,,,,,,30.0,5.0,,Ghazal Alagh,Ghazal Alagh,,,,1.0,1.0,1.0,1.0,1.0,Yes,Mixed
2,TAC,51,318,2023-01-02,2023-03-10,2023-03-10,Gateway To Shark Tank India,Rahul Dua,Beauty/Fashion,"ayurveda co for glowing skin, makeup & open pores",https://theayurvedaco.com/,,2,1.0,1.0,,1,,Mumbai,Maharashtra,,,,,,yes,,,,,150.0,0.5,30000.0,1,1.0,81.0,1.0,69.0,12.0,8100.0,2.0,,,,,,,,,,,,,,40.5,0.5,34.5,,,,,,,,,,40.5,0.5,34.5,Vikas D Nahar,Vikas D Nahar,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,Yes,Mixed
2,Naara-Aaba,51,319,2023-01-02,2023-03-10,2023-03-10,Gateway To Shark Tank India,Rahul Dua,Liquor/Alcohol,pears and plum wine,https://www.naaraaaba.com/,2017.0,2,1.0,1.0,,1,,Ziro,Arunachal Pradesh,,,50.0,18.0,,,,,,,75.0,2.5,3000.0,1,1.0,50.0,5.0,25.0,10.0,1000.0,2.0,,,,,,,,25.0,2.5,12.5,,,,,,,,,,,,,,,,25.0,2.5,12.5,Vikas D Nahar,Vikas D Nahar,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,Yes,Mixed
3,TURMS,4,331,2024-01-22,2024-03-31,2024-01-25,Smart Solutions For A Smarter India,Rahul Dua,Beauty/Fashion,Intelligent Clothing,https://urturms.com/,2022.0,1,1.0,,,0,,Bangalore,Karnataka,70.0,86.0,,,,,,,,,120.0,2.0,6000.0,1,1.0,120.0,4.0,0.0,,3000.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,4.0,,Azhar Iqubal,Azhar Iqubal,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Yes,Male Only
3,mintree,4,332,2024-01-22,2024-03-31,2024-01-25,Smart Solutions For A Smarter India,Rahul Dua,Beauty/Fashion,Skincare products,https://mintree.us/,2018.0,1,,1.0,,0,,Nagpur,Maharashtra,900.0,,,,,,,,,,90.0,1.0,9000.0,1,1.0,90.0,1.5,0.0,,6000.0,2.0,,,,,,,,,,,,,,,,,45.0,0.75,,,,,,,,45.0,0.75,,Azhar Iqubal,Azhar Iqubal,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Yes,Female Only
3,DilFoods,5,334,2024-01-22,2024-03-31,2024-01-26,Innovative Ventures Vie For Sharks' Favour,Rahul Dua,Food and Beverage,Virtual restaurant service,https://dilfoods.in/,2022.0,1,,1.0,,0,,Ranchi,Jharkhand,700.0,,,,,,,,,,50.0,0.5,10000.0,1,1.0,200.0,2.67,0.0,,7490.636704,4.0,,,,,,,,50.0,0.667,,,,,,,,50.0,0.667,,50.0,0.6675,,,,,50.0,0.6675,,Radhika Gupta,Radhika Gupta,,1.0,,1.0,1.0,1.0,1.0,1.0,Yes,Female Only
3,GoenchiFeni,10,349,2024-01-22,2024-03-31,2024-02-02,Pitching Innovation,Rahul Dua,Liquor/Alcohol,Alcohol brand,https://www.goenchi.com/homepage/,2023.0,2,1.0,1.0,,0,,Goa,Goa,,,42.0,,,,,,,,100.0,5.0,2000.0,1,1.0,200.0,15.0,0.0,,1333.333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,15.0,,Deepinder Goyal,Deepinder Goyal,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Yes,Mixed
3,JewelBox,13,358,2024-01-22,2024-03-31,2024-02-07,Innovation Unleashed,Rahul Dua,Beauty/Fashion,Lab Grown Diamond Jewellery Brand,https://jewelbox.co.in/,,2,1.0,1.0,,0,,Kolkata,West Bengal,520.0,,,,,,,,,,100.0,2.0,5000.0,1,1.0,200.0,6.0,0.0,,3333.333333,5.0,,,,,,,,40.0,1.2,,,,,40.0,1.2,,40.0,1.2,,40.0,1.2,,,,,40.0,1.2,,Radhika Gupta,Radhika Gupta,,1.0,,1.0,1.0,1.0,1.0,1.0,Yes,Mixed
3,Without,16,368,2024-01-22,2024-03-31,2024-02-12,Innovation At Every Step,Rahul Dua,Beauty/Fashion,Products made from Waste Plastic,https://without.live,2020.0,1,1.0,,,0,,Pune,Maharashtra,,,,,,,,yes,,,75.0,1.0,7500.0,1,1.0,75.0,3.0,0.0,,2500.0,2.0,,,,,,,,,,,,,,,,,37.5,1.5,,,,,,,,37.5,1.5,,Ronnie Screwvala,"Ronnie Screwvala,Radhika Gupta",,,1.0,1.0,1.0,1.0,1.0,2.0,Yes,Male Only
3,Kibo,16,369,2024-01-22,2024-03-31,2024-02-12,Innovation At Every Step,Rahul Dua,Technology/Software,TrestleLabs Optical Character Recognition,https://www.trestlelabs.com/,2019.0,2,1.0,1.0,,1,,"Faridabad,Ahmedabad","Haryana,Gujarat",135.0,,,30.0,,,,yes,,,60.0,1.0,6000.0,1,1.0,60.0,6.0,0.0,,1000.0,2.0,,,,,,,,,,,,,,,,,30.0,3.0,,,,,,,,30.0,3.0,,Ronnie Screwvala,"Ronnie Screwvala,Radhika Gupta",,,1.0,1.0,1.0,1.0,1.0,2.0,Yes,Mixed
3,Chefling,21,382,2024-01-22,2024-03-31,2024-02-19,Entrepreneurs Battle for Investment,Rahul Dua,Food and Beverage,DIY Food Products,https://chefling.in/,,1,1.0,,,0,,Mumbai,Maharashtra,20.0,2.0,70.0,45.0,,,,,,,40.0,10.0,400.0,1,1.0,40.0,16.0,0.0,,250.0,4.0,,,,,10.0,4.0,,,,,,,,,,,10.0,4.0,,,,,10.0,4.0,,10.0,4.0,,Azhar Iqubal,Azhar Iqubal,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,Yes,Male Only
3,ToHands,25,395,2024-01-22,2024-03-31,2024-02-23,Battle Of The Innovators,Rahul Dua,Technology/Software,App to sync transactions with calculator,https://smart.tohands.in/,2023.0,3,3.0,,,0,,"Erode,Kanpur","Tamil Nadu,Uttar Pradesh",,,,,,,,,,,55.0,1.0,5500.0,1,1.0,60.0,2.0,0.0,,3000.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,2.0,,"Varun Dua,Radhika Gupta","Varun Dua,Radhika Gupta",,1.0,1.0,1.0,1.0,1.0,1.0,2.0,Yes,Male Only
3,PlusGold,25,396,2024-01-22,2024-03-31,2024-02-23,Battle Of The Innovators,Rahul Dua,Technology/Software,Jewellery savings app that integrates digital gold investment,https://plusgold.in/,,2,2.0,,,0,,Bangalore,Karnataka,,,,,,,,,,,60.0,1.0,6000.0,1,1.0,60.0,1.5,0.0,,4000.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,1.5,,Varun Dua,"Varun Dua,Radhika Gupta",,1.0,1.0,1.0,1.0,1.0,1.0,2.0,Yes,Male Only
3,Aroleap,26,397,2024-01-22,2024-03-31,2024-02-26,Entrepreneurship On The Rise,Rahul Dua,Medical/Health,Smart Home Gym,https://www.aroleap.com/,2020.0,3,3.0,,,0,,Bangalore,Karnataka,100.0,,,,,yes,,yes,funded,,100.0,2.5,4000.0,1,1.0,100.0,5.0,0.0,,2000.0,4.0,,,,,,,,,,,25.0,1.25,,,,,25.0,1.25,,,,,25.0,1.25,,25.0,1.25,,Azhar Iqubal,Azhar Iqubal,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,Yes,Male Only
3,Deeva,36,428,2024-01-22,2024-03-31,2024-03-11,Designing Dreams,Rahul Dua,Beauty/Fashion,Online Saree Platform,https://thedeeva.com/,2021.0,1,1.0,,,0,,Bangana,Himachal Pradesh,700.0,58.0,60.0,,35.0,,,,,,200.0,4.0,5000.0,1,1.0,75.0,6.0,125.0,10.0,1250.0,3.0,,,,,,,,,,,,,,25.0,2.0,41.66,,,,25.0,2.0,41.66,,,,25.0,2.0,41.66,Radhika Gupta,Radhika Gupta,,1.0,,1.0,1.0,1.0,1.0,1.0,Yes,Male Only
3,Lea,51,473,2024-01-22,2024-03-31,2024-03-30,Brilliant Businesses,Snehil Dixit Mehra,Beauty/Fashion,"With real curves, to celebrate and accentuate the skin",https://www.leaclothingco.com/,2021.0,2,,2.0,,0,,Noida,Uttar Pradesh,300.0,60.0,80.0,,20.0,,,,,,100.0,2.0,5000.0,1,1.0,100.0,4.0,0.0,,2500.0,4.0,,2.0,150.0,,25.0,1.0,,25.0,1.0,,25.0,1.0,,,,,,,,,,,,,,25.0,1.0,,Azhar Iqubal,Azhar Iqubal,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Yes,Female Only
3,CoolTheGlobe,52,476,2024-01-22,2024-03-31,2024-03-31,Ecopreneur Special,Snehil Dixit Mehra,Green/CleanTech,Movement to combat climate change,https://www.cooltheglobe.org/,,1,,1.0,,0,,Pune,Maharashtra,0.0,,,,,,,,,,25.0,5.0,500.0,1,1.0,25.0,8.0,0.0,,312.5,2.0,,,,,,,,,,,,,,12.5,4.0,,,,,,,,,,,12.5,4.0,,Radhika Gupta,"Azhar Iqubal,Radhika Gupta",1.0,,1.0,1.0,1.0,1.0,1.0,2.0,Yes,Female Only
3,Canvaloop,52,477,2024-01-22,2024-03-31,2024-03-31,Ecopreneur Special,Snehil Dixit Mehra,Green/CleanTech,Sustainable fabrics manufacturer,http://www.canvaloop.com/,2020.0,2,1.0,1.0,,1,,Surat,Gujarat,320.0,120.0,,,27.0,,,,funded,,100.0,1.33,7518.796992,1,1.0,200.0,4.0,0.0,,5000.0,5.0,,,,,40.0,0.8,,,,,40.0,0.8,,40.0,0.8,,,,,,,,,,,80.0,1.6,,"Azhar Iqubal,Radhika Gupta","Azhar Iqubal,Radhika Gupta",1.0,,1.0,1.0,1.0,1.0,1.0,2.0,Yes,Mixed
4,BLFabric,2,482,2025-01-06,,2025-01-07,"Threads, Kicks And Care",Sahiba Bali/Aashish Solanki,Beauty/Fashion,Fabric retail offerings,https://blfabric.com/,2021.0,1,1.0,0.0,,0,,Surat,Gujarat,525.0,240.0,,10.0,,,250.0,,,,100.0,2.0,5000.0,1,1.0,100.0,5.0,0.0,,2000.0,2.0,yes,,,,,,,,,,,,,,,,,,,50.0,2.5,,,,,50.0,2.5,,Kunal Bahl,Kunal Bahl,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,Yes,Male Only
4,CultureCircle,2,483,2025-01-06,,2025-01-07,"Threads, Kicks And Care",Sahiba Bali/Aashish Solanki,Beauty/Fashion,Authentic and affordable sneaker collection,https://www.culture-circle.com/,2023.0,2,2.0,0.0,,0,,Gurugram,Haryana,,44.0,,,,,,,funded,,120.0,0.5,24000.0,1,1.0,300.0,3.0,0.0,,10000.0,2.0,,,,,,,,,,,,,,,,,,,,150.0,1.5,,,,,150.0,1.5,,Kunal Bahl,Kunal Bahl,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,Yes,Male Only
4,InnerGize,5,491,2025-01-06,,2025-01-10,Pitching Wellness And Luxury,Sahiba Bali/Aashish Solanki,Medical/Health,Mental wellness wearables,https://getinnergize.com/,,3,2.0,1.0,,0,,Delhi,Delhi,,,,,,,,yes,,,54.0,1.5,3600.0,1,1.0,100.0,4.2,0.0,,2380.952381,3.0,,,,,,,,,,,,,,33.333,1.4,,,,,33.333,1.4,,,,,33.333,1.4,,Azhar Iqubal,"Kunal Bahl,Azhar Iqubal",,1.0,,1.0,1.0,1.0,1.0,2.0,Yes,Mixed
4,KIWIKisanWindow,5,493,2025-01-06,,2025-01-10,Pitching Wellness And Luxury,Sahiba Bali/Aashish Solanki,Lifestyle/Home,Organic grocery solutions,https://kiwikisanwindow.com/,2017.0,2,1.0,1.0,,1,,Dehradun,Uttarakhand,506.0,,,,5.3,,250.0,,funded,,50.0,1.0,5000.0,1,1.0,250.0,10.0,0.0,,2500.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,10.0,,Kunal Bahl,"Kunal Bahl,Azhar Iqubal",,1.0,,1.0,1.0,1.0,1.0,2.0,Yes,Mixed
4,SpeedKitchen,7,497,2025-01-06,,2025-01-14,From Culinary To Creativity,Sahiba Bali/Aashish Solanki,Food and Beverage,Ready-to-move kitchens,https://speedkitchen.in/,2021.0,2,2.0,0.0,,0,,Delhi,Delhi,550.0,,,2.0,4.5,,,,yes,,200.0,3.0,6666.666667,1,1.0,200.0,6.0,0.0,,3333.333333,3.0,,,,,,,,,,,,,,,,,,,,66.66,2.0,,,,,133.33,4.0,,"Kunal Bahl,Azhar Iqubal","Kunal Bahl,Azhar Iqubal",,1.0,,1.0,1.0,1.0,1.0,2.0,Yes,Male Only
4,Seven,14,517,2025-01-06,,2025-01-23,Tech Meets Creativity And Care,Aashish Solanki,Technology/Software,Innovative payment wearables developed,https://seven.ooo/,2018.0,3,3.0,0.0,,0,,Mumbai,Maharashtra,61.0,,,,,,,yes,funded,,75.0,1.0,7500.0,1,1.0,75.0,1.5,0.0,,5000.0,3.0,,,,1.5,,,,25.0,0.5,,,,,,,,25.0,0.5,,,,,,,,25.0,0.5,,Varun Dua,Varun Dua,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Yes,Male Only
